start_station_name,member_casual,number_of_rides,average_duration
Clifton Ave & Armitage Ave,member,7106,12.764757481940144
Clinton St & 18th St,casual,955,26.369947643979053
Clinton St & 18th St,member,1912,16.041379009762903
Clinton St & Jackson Blvd,casual,3481,24.084075457244086
Clinton St & Jackson Blvd,member,9615,11.55449124631652
Clinton St & Lake St,casual,5355,19.424394646747587
Clinton St & Lake St,member,11612,10.11940234240441
Clinton St & Madison St,casual,7253,23.0169860747277
Clinton St & Madison St,member,16132,11.49580543846599
Clinton St & Polk St,casual,598,29.068171683389075
Clinton St & Polk St,member,707,10.462588401697312
Clinton St & Roosevelt Rd,casual,3260,24.221431492842537
Clinton St & Roosevelt Rd,member,4553,12.753203016326232
Clinton St & Tilden St,casual,1166,20.776186392224126
Clinton St & Tilden St,member,2050,10.333357723577235
Clinton St & Washington Blvd,casual,5029,22.35421223569961
Clinton St & Washington Blvd,member,14453,10.81730321271247
Clybourn Ave & Division St,casual,2257,18.536988627972235
Clybourn Ave & Division St,member,4556,11.142921422300264
Clyde Ave & 87th St,casual,101,37.81551155115512
Clyde Ave & 87th St,member,37,56.000450450450465
Columbus Dr & Randolph St,casual,10037,39.2034787951247
Columbus Dr & Randolph St,member,12550,12.34356706507304
Commercial Ave & 100th St,casual,42,70.70476190476191
Commercial Ave & 130th St,casual,117,40.43091168091169
Commercial Ave & 130th St,member,14,37.56190476190475
Commercial Ave & 83rd St,casual,82,50.97540650406502
Commercial Ave & 83rd St,member,24,18.83333333333334
Conservatory Dr & Lake St,casual,481,42.416666666666686
Conservatory Dr & Lake St,member,245,27.51360544217687
Constance Ave & 95th St,casual,63,36.13597883597884
Constance Ave & 95th St,member,10,14.606666666666667
Cornell Ave & Hyde Park Blvd,casual,3072,41.838313802083334
Cornell Ave & Hyde Park Blvd,member,3991,15.198275286060301
Cornell Dr & Hayes Dr,casual,361,51.83028624192059
Cornell Dr & Hayes Dr,member,143,17.6018648018648
Cottage Grove Ave & 111th Pl,casual,117,39.58048433048434
Cottage Grove Ave & 111th Pl,member,27,23.70432098765432
Cottage Grove Ave & 43rd St,casual,425,44.293019607843135
Cottage Grove Ave & 43rd St,member,317,16.771345951629865
Cottage Grove Ave & 47th St,casual,572,38.29274475524475
Cottage Grove Ave & 47th St,member,463,16.049748020158386
Cottage Grove Ave & 51st St,casual,639,28.523891497130936
Cottage Grove Ave & 51st St,member,430,16.07798449612403
Cottage Grove Ave & 63rd St,casual,473,29.979457364341087
Cottage Grove Ave & 63rd St,member,268,16.449191542288556
Cottage Grove Ave & 67th St,casual,199,33.255443886097154
Cottage Grove Ave & 67th St,member,52,17.37339743589743
Cottage Grove Ave & 71st St,casual,132,29.62449494949494
Cottage Grove Ave & 71st St,member,10,11.95833333333332
Cottage Grove Ave & 78th St,casual,125,37.56293333333331
Cottage Grove Ave & 78th St,member,21,12.384126984126986
Cottage Grove Ave & 83rd St,casual,138,44.08236714975846
Cottage Grove Ave & 83rd St,member,56,23.240178571428576
Cottage Grove Ave & Oakwood Blvd,casual,1050,50.95239682539683
Cottage Grove Ave & Oakwood Blvd,member,647,25.233900051519836
Daley Center Plaza,casual,6277,25.193667357017684
Daley Center Plaza,member,11577,12.833847283406755
Damen Ave & 33rd St,casual,9,22.877777777777823
Damen Ave & 33rd St,member,8,16.79791666666667
Damen Ave & 51st St,casual,76,26.11381578947368
Damen Ave & 51st St,member,13,21.260256410256417
Damen Ave & 59th St,casual,94,52.06631205673762
Damen Ave & 59th St,member,16,23.751041666666676
Damen Ave & Charleston St,casual,2887,23.47225493591964
Damen Ave & Charleston St,member,3179,14.381456432840515
Damen Ave & Chicago Ave,casual,4737,20.526578002955457
Damen Ave & Chicago Ave,member,6616,12.296072652156388
Damen Ave & Clybourn Ave,casual,1832,21.379848981077142
Damen Ave & Clybourn Ave,member,3018,15.252993152197924
Damen Ave & Cortland St,casual,5677,23.080074569901946
Damen Ave & Cortland St,member,6491,14.800711241205772
Damen Ave & Coulter St,casual,245,31.756666666666668
Damen Ave & Coulter St,member,315,17.106507936507935
Damen Ave & Cullerton St,casual,1054,25.198829854522454
Damen Ave & Cullerton St,member,1338,15.961185849526656
Damen Ave & Division St,casual,4533,20.483840723582617
Damen Ave & Division St,member,5760,12.915188078703704
Damen Ave & Foster Ave,casual,1465,24.459499431171785
Damen Ave & Foster Ave,member,2123,14.17718637148689
Damen Ave & Grand Ave,casual,2305,20.520751988430945
Damen Ave & Grand Ave,member,2799,13.70471001548172
Damen Ave & Leland Ave,casual,1591,21.81824848103918
Damen Ave & Leland Ave,member,3794,12.499468458970304
Damen Ave & Madison St,casual,1510,29.465408388520977
Damen Ave & Madison St,member,1822,15.288126600804976
Damen Ave & Melrose Ave,casual,1859,24.941563564640486
Damen Ave & Melrose Ave,member,1693,13.693748769442804
Damen Ave & Pershing Rd,casual,250,40.60026666666666
Damen Ave & Pershing Rd,member,198,24.787121212121214
Damen Ave & Pierce Ave,casual,9810,22.784259259259258
Damen Ave & Pierce Ave,member,10102,13.87118392397545
Damen Ave & Sunnyside Ave,casual,1110,23.126936936936936
Damen Ave & Sunnyside Ave,member,2166,13.500161588180978
Damen Ave & Thomas St (Augusta Blvd),casual,3286,20.263334347737878
